14,14,12,12,12,9,2,12,9,9,9,0,5,5,14,5
13,12,5,3,9,1,1,13,13,13,5,5,5,9,5,13
11,2,14,13,13,13,11,5,5,13,13,13,13,9,9,4
13,13,13,13,13,13,3,11,11,11,13,1,13,9,9,9
5,13,13,13,0,0,13,13,13,0,0,13,13,14,5,3
14,14,14,9,9,12,4,12,12,9,9,9,9,13,0,11
13,9,8,12,12,12,5,9,9,9,0,0,0,9,9,13
5,5,5,13,13,13,3,9,9,9,9,9,2,12,0,9
9,9,8,9,12,1,1,14,14,12,12,11,13,2,2,2
9,9,12,1,9,9,12,12,12,12,0,2,2,2,0,9
6,6,6,0,0,0,12,12,9,9,9,9,9,9,12,2
3,9,9,9,12,12,2,2,9,9,9,5,5,13,11,11
8,8,13,2,3,8,11,9,9,9,9,9,5,9,0,0
13,13,13,13,3,3,8,13,3,9,9,9,9,9,13,9
9,9,9,9,0,0,1,1,13,13,5,14,3,12,12,4
9,9,9,9,12,5,5,5,15,5,9,12,0,9,9,5
9,9,9,12,9,15,0,9,9,9,2,2,9,3,9,9
12,6,6,6,9,9,9,9,0,2,11,11,11,11,11,12
12,12,12,9,9,9,9,9,9,9,9,2,1,1,9,9
9,11,9,9,9,9,5,5,5,13,13,9,9,12,5,9
5,1,9,9,9,4,9,0,0,0,9,9,9,9,9,0
9,7,5,14,9,9,7,14,8,12,5,6,6,6,3,3
9,3,9,9,9,9,9,0,0,12,9,11,1,0,0,0
13,9,13,11,11,9,2,0,0,9,9,9,9,9,13,14
11,8,6,6,9,13,9,9,9,13,13,13,13,13,2,9
12,12,12,0,0,9,1,12,5,5,0,0,13,11,2,4
11,9,13,5,5,2,0,0,0,14,9,14,14,14,3,3
12,14,5,9,9,9,5,5,9,5,13,5,3,12,12,12
2,13,2,5,4,5,5,12,13,13,13,2,8,5,12,12
9,9,9,5,5,11,9,13,13,13,13,9,9,9,13,0
9,12,0,12,12,5,15,9,9,2,9,8,8,5,9,9
5,1,5,9,9,9,9,9,2,5,5,5,5,5,12,12
9,9,12,12,12,5,0,9,3,3,2,8,14,14,5,5
13,5,5,5,5,5,5,12,5,14,14,14,12,12,12,2
14,14,3,9,11,11,5,9,9,9,9,0,13,1,1,12
9,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9
15,9,9,12,9,9,9,12,12,12,13,0,0,9,9,9
0,0,0,5,6,4,7,4,5,5,9,5,0,9,13,4
13,0,11,11,9,0,13,12,0,0,5,3,9,5,2,2
11,11,11,9,9,5,1,2,9,2,2,1,1,0,1,12
12,9,9,9,9,0,5,9,9,12,5,13,13,13,9,9
9,9,9,5,5,5,9,11,9,9,1,14,9,9,5,5
13,13,13,13,13,13,13,13,13,2,0,0,0,11,11,11
9,9,0,5,5,2,9,13,13,13,11,0,9,9,9,5
9,9,9,9,9,9,9,9,9,9,9,5,5,13,14,14
14,0,0,4,0,9,9,9,13,2,9,9,9,12,13,0
9,5,5,9,5,9,9,9,9,15,12,12,14,9,3,0
8,0,0,4,12,12,2,2,0,0,4,2,0,5,5,5
12,12,11,2,13,5,5,5,5,5,5,0,5,5,5,1
9,9,9,9,9,14,13,3,3,9,9,9,9,9,5,5
13,12,2,2,12,0,0,8,5,0,0,3,5,9,9,9
0,0,6,13,13,13,13,15,5,12,12,12,3,3,9,9
9,5,9,9,12,4,0,1,9,9,12,13,5,5,6,11
12,11,13,5,5,0,0,9,9,9,9,9,9,9,9,5
11,11,9,9,0,13,9,14,9,13,12,2,9,9,13,13
5,5,9,9,9,5,5,9,9,9,0,9,9,9,12,11
9,2,5,9,12,9,9,0,0,0,0,9,9,0,5,5
9,2,5,5,5,5,5,0,2,2,15,1,12,12,2,9
9,13,13,13,13,1,9,9,1,0,0,2,2,3,3,9
5,9,9,9,9,2,1,9,9,9,4,13,5,5,9,9
5,5,12,13,12,13,1,14,14,0,13,13,5,14,9,4
14,5,0,13,13,13,8,9,9,4,11,12,12,9,9,5
12,12,13,12,9,9,9,9,9,9,9,13,14,0,0,0
9,9,0,12,3,2,12,12,12,12,2,12,12,12,12,12
9,9,9,9,9,9,13,9,12,9,9,5,13,8,8,9
11,11,11,12,12,5,13,5,5,5,9,2,9,9,0,1
0,15,9,9,9,9,9,3,9,9,9,0,0,5,13,13
12,11,12,12,12,5,9,9,9,9,9,9,9,9,9,9
14,12,12,9,3,3,0,1,1,5,9,9,5,13,13,13
0,5,11,11,14,5,6,5,5,5,5,13,13,13,13,13
12,12,12,12,12,12,2,5,9,12,0,9,12,12,11,11
4,5,5,5,5,5,13,4,1,8,9,9,3,3,9,9
11,11,11,11,0,11,11,0,2,2,14,9,9,9,13,12
5,13,13,5,5,5,5,5,0,0,2,0,5,5,5,13
3,2,2,2,9,5,9,9,9,1,9,4,2,4,12,1
0,5,5,0,0,14,12,12,1,2,10,13,13,13,13,13
12,14,4,4,14,9,9,12,0,12,5,5,11,11,4,0
0,3,9,9,2,4,14,12,3,0,0,13,13,13,9,9
6,12,13,8,12,0,8,9,9,1,1,4,13,13,12,9
13,0,12,12,13,13,13,13,9,9,9,9,9,5,5,12
14,0,0,0,2,0,5,9,9,12,12,12,12,0,0,13
9,9,9,4,5,9,9,9,12,5,12,5,5,5,9,11
5,5,5,13,9,9,1,1,0,7,12,12,12,9,9,9
9,15,5,9,9,9,0,9,9,1,1,5,4,11,11,9
0,0,0,0,5,9,11,12,12,13,13,12,12,0,0,0
2,2,2,11,8,0,0,12,5,9,5,11,9,9,2,2
8,13,13,13,13,2,3,3,0,3,3,0,0,9,9,13
12,13,13,13,13,13,13,9,9,9,3,0,0,0,9,9
13,14,9,9,0,0,0,8,13,5,5,5,13,8,9,9
8,9,9,9,9,9,0,0,13,2,12,13,9,13,13,13
11,13,9,9,9,9,9,9,9,9,2,9,9,3,3,9
13,13,5,5,9,0,9,12,6,6,13,13,13,13,9,9
14,1,5,14,0,0,9,9,2,8,0,5,5,14,9,5
5,5,9,11,9,9,9,9,9,1,0,0,0,14,5,0
2,8,0,9,9,11,9,9,9,9,9,9,9,9,2,2
0,6,11,11,3,3,12,1,9,5,0,0,0,11,11,2
13,1,1,12,12,13,9,9,2,9,9,2,2,9,9,9
8,3,5,3,9,12,14,13,13,2,4,13,13,12,6,9
5,9,12,12,12,14,0,4,13,13,13,13,9,2,0,12
9,9,14,11,11,11,11,13,13,13,13,13,9,9,9,9
14,3,3,9,3,3,14,0,0,9,14,2,0,13,13,13
13,12,9,8,9,13,15,9,9,9,12,12,1,1,1,9
0,0,0,8,2,2,11,11,11,11,13,13,13,9,4,9
6,9,5,5,12,12,12,12,0,0,11,11,0,0,0,5
13,14,14,13,1,0,0,0,2,12,12,9,12,9,9,9
14,3,0,8,13,9,9,9,9,9,9,9,9,9,0,9
5,5,9,9,9,0,14,4,0,6,12,13,9,9,9,9
9,4,13,2,0,0,0,12,9,13,5,5,9,0,7,9
1,12,12,12,14,4,5,5,9,8,12,9,9,9,9,13
9,9,0,0,5,5,5,4,12,12,0,0,0,5,3,12
13,14,0,0,0,0,0,1,1,4,3,1,9,9,2,5
0,0,9,9,13,13,12,12,13,13,13,13,13,9,13,12
9,14,14,0,0,0,0,0,0,0,13,8,9,5,5,0
13,9,9,9,12,12,8,9,5,5,5,5,9,13,9,9
13,5,5,14,14,5,5,12,9,9,9,2,0,0,0,5
0,9,9,9,1,1,1,9,0,9,9,9,9,9,13,12
12,12,11,11,15,2,12,12,12,12,5,0,9,9,11,8
9,9,0,1,13,0,11,11,11,11,11,11,11,0,9,9
12,12,12,12,12,13,13,5,9,9,9,1,9,9,9,9
8,5,5,13,9,5,12,12,9,5,5,5,5,5,5,1
